,method,dr,runtime,n1,n2,k,distribution
99,random,True,0.3286008834838867,100,200,200,multipeak
100,kmeans,False,3.7375733852386475,100,200,300,multipeak
101,kmeans,True,3.829798936843872,100,200,300,multipeak
102,affinity,False,1.7467727661132812,100,200,300,multipeak
103,affinity,True,1.2114474773406982,100,200,300,multipeak
104,hierarchical,False,0.8328125476837158,100,200,300,multipeak
105,hierarchical,True,0.733738899230957,100,200,300,multipeak
106,spectral,False,0.8493869304656982,100,200,300,multipeak
107,spectral,True,0.8353002071380615,100,200,300,multipeak
108,random,False,0.6757557392120361,100,200,300,multipeak
109,random,True,0.8137872219085693,100,200,300,multipeak
110,kmeans,False,5.399027585983276,100,200,400,multipeak
111,kmeans,True,4.055138111114502,100,200,400,multipeak
112,affinity,False,2.925915479660034,100,200,400,multipeak
113,affinity,True,2.094083786010742,100,200,400,multipeak
114,hierarchical,False,1.7239768505096436,100,200,400,multipeak
115,hierarchical,True,1.3690414428710938,100,200,400,multipeak
116,spectral,False,1.5252947807312012,100,200,400,multipeak
117,spectral,True,1.5061116218566895,100,200,400,multipeak
118,random,False,1.2855846881866455,100,200,400,multipeak
119,random,True,1.4854412078857422,100,200,400,multipeak
120,kmeans,False,2.925790786743164,100,50,100,multipeak
121,kmeans,True,2.6448590755462646,100,50,100,multipeak
122,affinity,False,0.053503990173339844,100,50,100,multipeak
123,affinity,True,0.04999971389770508,100,50,100,multipeak
124,hierarchical,False,0.032002925872802734,100,50,100,multipeak
125,hierarchical,True,0.032506704330444336,100,50,100,multipeak
126,spectral,False,0.058001041412353516,100,50,100,multipeak
127,spectral,True,0.05962872505187988,100,50,100,multipeak
128,random,False,0.016991853713989258,100,50,100,multipeak
129,random,True,0.01800060272216797,100,50,100,multipeak
130,kmeans,False,2.9347383975982666,100,50,200,multipeak
131,kmeans,True,3.675891399383545,100,50,200,multipeak
132,affinity,False,0.18806743621826172,100,50,200,multipeak
133,affinity,True,0.1375102996826172,100,50,200,multipeak
134,hierarchical,False,0.11153960227966309,100,50,200,multipeak
135,hierarchical,True,0.10453343391418457,100,50,200,multipeak
136,spectral,False,0.1541152000427246,100,50,200,multipeak
137,spectral,True,0.15453076362609863,100,50,200,multipeak
138,random,False,0.07051610946655273,100,50,200,multipeak
139,random,True,0.07454037666320801,100,50,200,multipeak
140,kmeans,False,3.2467973232269287,100,50,300,multipeak
141,kmeans,True,2.6535041332244873,100,50,300,multipeak
142,affinity,False,0.33256101608276367,100,50,300,multipeak
143,affinity,True,0.2665677070617676,100,50,300,multipeak
144,hierarchical,False,0.1930398941040039,100,50,300,multipeak
145,hierarchical,True,0.18308639526367188,100,50,300,multipeak
146,spectral,False,0.2640805244445801,100,50,300,multipeak
147,spectral,True,0.31730151176452637,100,50,300,multipeak
148,random,False,0.14563369750976562,100,50,300,multipeak
149,random,True,0.1530742645263672,100,50,300,multipeak
150,kmeans,False,3.812027931213379,100,50,400,multipeak
151,kmeans,True,3.2610137462615967,100,50,400,multipeak
152,affinity,False,0.5547873973846436,100,50,400,multipeak
153,affinity,True,0.5482807159423828,100,50,400,multipeak
154,hierarchical,False,0.33455991744995117,100,50,400,multipeak
155,hierarchical,True,0.3058435916900635,100,50,400,multipeak
156,spectral,False,0.5032994747161865,100,50,400,multipeak
157,spectral,True,0.49725770950317383,100,50,400,multipeak
158,random,False,0.20462894439697266,100,50,400,multipeak
159,random,True,0.22510910034179688,100,50,400,multipeak
160,kmeans,False,3.078749895095825,150,100,100,multipeak
161,kmeans,True,2.974754571914673,150,100,100,multipeak
162,affinity,False,0.14150691032409668,150,100,100,multipeak
163,affinity,True,0.11151766777038574,150,100,100,multipeak
164,hierarchical,False,0.0845184326171875,150,100,100,multipeak
165,hierarchical,True,0.07770180702209473,150,100,100,multipeak
166,spectral,False,0.10651659965515137,150,100,100,multipeak
167,spectral,True,0.09550833702087402,150,100,100,multipeak
168,random,False,0.05100440979003906,150,100,100,multipeak
169,random,True,0.05051279067993164,150,100,100,multipeak
170,kmeans,False,3.0881199836730957,150,100,200,multipeak
171,kmeans,True,3.0205743312835693,150,100,200,multipeak
172,affinity,False,0.4312429428100586,150,100,200,multipeak
173,affinity,True,0.380277156829834,150,100,200,multipeak
174,hierarchical,False,0.2572615146636963,150,100,200,multipeak
175,hierarchical,True,0.25532078742980957,150,100,200,multipeak
176,spectral,False,0.3225877285003662,150,100,200,multipeak
177,spectral,True,0.3096272945404053,150,100,200,multipeak
178,random,False,0.1951746940612793,150,100,200,multipeak
179,random,True,0.20606589317321777,150,100,200,multipeak
180,kmeans,False,3.5574421882629395,150,100,300,multipeak
181,kmeans,True,2.906881093978882,150,100,300,multipeak
182,affinity,False,0.7920818328857422,150,100,300,multipeak
183,affinity,True,0.7312326431274414,150,100,300,multipeak
184,hierarchical,False,0.5409412384033203,150,100,300,multipeak
185,hierarchical,True,0.513704776763916,150,100,300,multipeak
186,spectral,False,0.6161665916442871,150,100,300,multipeak
187,spectral,True,0.6302752494812012,150,100,300,multipeak
188,random,False,0.4385721683502197,150,100,300,multipeak
189,random,True,0.43026089668273926,150,100,300,multipeak
190,kmeans,False,4.121814489364624,150,100,400,multipeak
191,kmeans,True,3.3459506034851074,150,100,400,multipeak
192,affinity,False,1.4657111167907715,150,100,400,multipeak
193,affinity,True,1.243635892868042,150,100,400,multipeak
194,hierarchical,False,0.9230570793151855,150,100,400,multipeak
195,hierarchical,True,0.9824230670928955,150,100,400,multipeak
196,spectral,False,1.1972119808197021,150,100,400,multipeak
197,spectral,True,1.0597455501556396,150,100,400,multipeak
198,random,False,0.6338496208190918,150,100,400,multipeak
199,random,True,0.6513690948486328,150,100,400,multipeak
200,kmeans,False,2.8176040649414062,150,150,100,multipeak
201,kmeans,True,3.0983855724334717,150,150,100,multipeak
202,affinity,False,0.2231597900390625,150,150,100,multipeak
203,affinity,True,0.2030329704284668,150,150,100,multipeak
204,hierarchical,False,0.12153935432434082,150,150,100,multipeak
205,hierarchical,True,0.1173393726348877,150,150,100,multipeak
206,spectral,False,0.13954520225524902,150,150,100,multipeak
207,spectral,True,0.14353609085083008,150,150,100,multipeak
208,random,False,0.08954238891601562,150,150,100,multipeak
209,random,True,0.09650778770446777,150,150,100,multipeak
210,kmeans,False,3.6058449745178223,150,150,200,multipeak
211,kmeans,True,3.0265743732452393,150,150,200,multipeak
212,affinity,False,0.5627048015594482,150,150,200,multipeak
213,affinity,True,0.6286044120788574,150,150,200,multipeak
214,hierarchical,False,0.4261891841888428,150,150,200,multipeak
215,hierarchical,True,0.4167952537536621,150,150,200,multipeak
216,spectral,False,0.43815040588378906,150,150,200,multipeak
217,spectral,True,0.43760180473327637,150,150,200,multipeak
218,random,False,0.3015401363372803,150,150,200,multipeak
219,random,True,0.3486654758453369,150,150,200,multipeak
220,kmeans,False,4.086717367172241,150,150,300,multipeak
221,kmeans,True,3.186694622039795,150,150,300,multipeak
222,affinity,False,1.2425694465637207,150,150,300,multipeak
223,affinity,True,1.3181159496307373,150,150,300,multipeak
224,hierarchical,False,0.9463720321655273,150,150,300,multipeak
225,hierarchical,True,0.7828595638275146,150,150,300,multipeak
226,spectral,False,0.9015631675720215,150,150,300,multipeak
227,spectral,True,0.9758102893829346,150,150,300,multipeak
228,random,False,0.7365751266479492,150,150,300,multipeak
229,random,True,0.7240922451019287,150,150,300,multipeak
230,kmeans,False,4.270526170730591,150,150,400,multipeak
231,kmeans,True,4.428473711013794,150,150,400,multipeak
232,affinity,False,2.2786481380462646,150,150,400,multipeak
233,affinity,True,1.6534855365753174,150,150,400,multipeak
234,hierarchical,False,1.2071435451507568,150,150,400,multipeak
235,hierarchical,True,1.1154351234436035,150,150,400,multipeak
236,spectral,False,1.341135025024414,150,150,400,multipeak
237,spectral,True,1.6123886108398438,150,150,400,multipeak
238,random,False,1.2152001857757568,150,150,400,multipeak
239,random,True,1.2673399448394775,150,150,400,multipeak
240,kmeans,False,3.100956916809082,150,200,100,multipeak
241,kmeans,True,2.603116512298584,150,200,100,multipeak
242,affinity,False,0.23404383659362793,150,200,100,multipeak
243,affinity,True,0.24366545677185059,150,200,100,multipeak
244,hierarchical,False,0.141571044921875,150,200,100,multipeak
245,hierarchical,True,0.14255666732788086,150,200,100,multipeak
246,spectral,False,0.1590259075164795,150,200,100,multipeak
247,spectral,True,0.16404056549072266,150,200,100,multipeak
248,random,False,0.11760473251342773,150,200,100,multipeak
249,random,True,0.12554383277893066,150,200,100,multipeak
250,kmeans,False,3.930629014968872,150,200,200,multipeak
251,kmeans,True,3.4222800731658936,150,200,200,multipeak
252,affinity,False,0.8692653179168701,150,200,200,multipeak
253,affinity,True,0.6366753578186035,150,200,200,multipeak
254,hierarchical,False,0.456118106842041,150,200,200,multipeak
255,hierarchical,True,0.44460344314575195,150,200,200,multipeak
256,spectral,False,0.4897441864013672,150,200,200,multipeak
257,spectral,True,0.4818568229675293,150,200,200,multipeak
258,random,False,0.38783812522888184,150,200,200,multipeak
259,random,True,0.49375486373901367,150,200,200,multipeak
260,kmeans,False,4.64375901222229,150,200,300,multipeak
261,kmeans,True,3.6364221572875977,150,200,300,multipeak
262,affinity,False,1.8500919342041016,150,200,300,multipeak
263,affinity,True,1.8223440647125244,150,200,300,multipeak
264,hierarchical,False,1.259293556213379,150,200,300,multipeak
265,hierarchical,True,1.134777545928955,150,200,300,multipeak
266,spectral,False,1.2282359600067139,150,200,300,multipeak
267,spectral,True,1.234339952468872,150,200,300,multipeak
268,random,False,0.9038479328155518,150,200,300,multipeak
269,random,True,0.9050247669219971,150,200,300,multipeak
270,kmeans,False,5.285437345504761,150,200,400,multipeak
271,kmeans,True,4.954167366027832,150,200,400,multipeak
272,affinity,False,2.9702587127685547,150,200,400,multipeak
273,affinity,True,3.033740997314453,150,200,400,multipeak
274,hierarchical,False,2.73097562789917,150,200,400,multipeak
275,hierarchical,True,2.372058153152466,150,200,400,multipeak
276,spectral,False,2.4782423973083496,150,200,400,multipeak
277,spectral,True,2.4510903358459473,150,200,400,multipeak
278,random,False,2.2176661491394043,150,200,400,multipeak
279,random,True,2.2596569061279297,150,200,400,multipeak
280,kmeans,False,3.5249431133270264,150,50,100,multipeak
281,kmeans,True,3.2896792888641357,150,50,100,multipeak
282,affinity,False,0.1515519618988037,150,50,100,multipeak
283,affinity,True,0.0815281867980957,150,50,100,multipeak
284,hierarchical,False,0.05001473426818848,150,50,100,multipeak
285,hierarchical,True,0.052533626556396484,150,50,100,multipeak
286,spectral,False,0.0815281867980957,150,50,100,multipeak
287,spectral,True,0.09015154838562012,150,50,100,multipeak
288,random,False,0.02899646759033203,150,50,100,multipeak
289,random,True,0.030996322631835938,150,50,100,multipeak
290,kmeans,False,4.159186363220215,150,50,200,multipeak
291,kmeans,True,4.033038139343262,150,50,200,multipeak
292,affinity,False,0.30065131187438965,150,50,200,multipeak
293,affinity,True,0.25807714462280273,150,50,200,multipeak
294,hierarchical,False,0.19132781028747559,150,50,200,multipeak
295,hierarchical,True,0.18575024604797363,150,50,200,multipeak
296,spectral,False,0.2508394718170166,150,50,200,multipeak
297,spectral,True,0.2350294589996338,150,50,200,multipeak
298,random,False,0.12670183181762695,150,50,200,multipeak
299,random,True,0.1400151252746582,150,50,200,multipeak
300,kmeans,False,3.862743377685547,150,50,300,multipeak
301,kmeans,True,3.8301186561584473,150,50,300,multipeak
302,affinity,False,0.43585824966430664,150,50,300,multipeak
303,affinity,True,0.8974258899688721,150,50,300,multipeak
304,hierarchical,False,0.33178210258483887,150,50,300,multipeak
305,hierarchical,True,0.3544962406158447,150,50,300,multipeak
306,spectral,False,0.49832916259765625,150,50,300,multipeak
307,spectral,True,0.4067213535308838,150,50,300,multipeak
308,random,False,0.23210358619689941,150,50,300,multipeak
309,random,True,0.23406243324279785,150,50,300,multipeak
310,kmeans,False,3.9587819576263428,150,50,400,multipeak
311,kmeans,True,4.037172794342041,150,50,400,multipeak
312,affinity,False,0.7655484676361084,150,50,400,multipeak
313,affinity,True,0.7105436325073242,150,50,400,multipeak
314,hierarchical,False,0.5304229259490967,150,50,400,multipeak
315,hierarchical,True,0.46765971183776855,150,50,400,multipeak
316,spectral,False,0.715418815612793,150,50,400,multipeak
317,spectral,True,0.6808507442474365,150,50,400,multipeak
318,random,False,0.31482815742492676,150,50,400,multipeak
319,random,True,0.33254170417785645,150,50,400,multipeak
320,kmeans,False,3.006679058074951,200,100,100,multipeak
